"Table 427-0001 Number of international travellers entering or returning to Canada, by type of transport, monthly (persons)(1,7,10,11)",,,,,,,,,,,,
Survey or program details:,,,,,,,,,,,,
International Travel Survey: Frontier Counts - 5005,,,,,,,,,,,,
Geography,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon
Traveller characteristics,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers
Jun-04,4202184,10676,55,37789,196283,384167,2446187,76840,21528,118689,845296,64674
Jul-04,5616279,12211,90,61129,265828,534989,3251279,95551,26013,191794,1096750,80645
Aug-04,5189920,10041,71,68057,246055,528734,2994135,70572,18220,149176,1028264,76595
Sep-04,3736616,11276,209,66549,184092,377711,2135444,51923,15487,108170,747031,38724
Oct-04,2978471,6144,14,45757,156230,331733,1833667,47295,16732,73628,459439,7832
Nov-04,2253271,4405,16,4856,121811,228630,1420596,33513,12362,47469,375580,4033
Dec-04,2419942,4910,5,5384,123223,275082,1422586,34593,10149,59287,481736,2987
Jan-05,1900770,3269,7,3203,103496,202006,1149006,24757,5968,46253,359915,2890
Feb-05,2064546,3386,5,3286,103391,247210,1199217,26787,6324,61188,410367,3385
Mar-05,2298874,4408,4,3769,109472,246180,1388947,35712,7781,60547,436829,5225
Apr-05,2359911,4311,24,4089,120862,260493,1435382,30589,8259,39763,450017,6122
May-05,3075618,5423,4,12472,136987,297852,1807195,45089,13073,70808,657385,29330
Jun-05,4021445,8212,26,32737,170547,374417,2304959,73301,20963,127004,843234,66045
Jul-05,5344767,10856,1246,59709,252681,504743,3053380,82993,24490,183349,1087731,83589
Aug-05,4724018,12662,2164,59849,229364,463343,2662774,59283,16695,137725,1000183,79976
Sep-05,3436087,14503,664,71710,162048,347017,1895886,43070,14694,103672,741237,41586
Oct-05,2612637,8376,215,31316,136956,304710,1583733,39427,14367,58375,428323,6839
Nov-05,2025479,4131,11,4008,109685,211840,1265702,28445,10172,41262,347342,2881
Dec-05,2295954,4964,0,5813,114682,255167,1344359,31578,9106,65000,462225,3060
Jan-06,1833564,4271,1,2940,94658,188039,1123225,24942,6324,45534,340763,2867
Feb-06,1825365,4123,4,3381,94524,215814,1071961,23906,6090,45188,357488,2886
Mar-06,2076804,3622,27,3658,106430,217937,1233039,31921,7030,58361,410254,4525
Apr-06,2297236,5298,5,4248,112128,245158,1403795,30530,7856,49291,433540,5387
May-06,2865733,7232,6,12148,122312,286859,1661752,42964,11500,77706,610314,32940
Jun-06,3755910,8473,585,32722,154680,359125,2101101,67977,18367,125394,815468,72018
Jul-06,4805944,11933,987,42505,215592,457147,2711678,72360,19883,159989,1033152,80718
Aug-06,4380312,11482,995,49425,201421,436245,2414003,58370,16127,130974,975948,85322
Sep-06,3182245,16617,675,45966,155427,336420,1719666,42867,13627,92610,716426,41944
Oct-06,2331097,6664,334,41156,129638,276840,1352065,38295,12841,60983,404782,7499
Nov-06,1855101,4405,18,5851,100852,198493,1145482,25272,9603,45357,316419,3349
Dec-06,2180900,3960,11,8632,108981,252122,1262694,29767,8975,71571,431397,2790
Jan-07,1561001,3050,4,4121,83872,172640,900826,21224,5961,49498,317297,2508
Feb-07,1543350,2517,0,4384,77878,194255,827183,20149,5257,52071,357029,2627
Mar-07,1821188,2876,1,6182,85969,195227,1030549,26767,7210,62302,399739,4366
Apr-07,1930730,3519,2,6781,92297,214654,1131308,25197,7551,54176,389624,5621
May-07,2653574,4600,7,13327,108731,275491,1463150,40539,11537,81067,615817,39308
Jun-07,3594044,6714,109,27443,149681,354983,1956339,64017,18236,132256,813440,70826
Jul-07,4370709,9833,2110,39972,209558,429326,2357892,65164,19021,172332,973989,91512
Aug-07,4237180,9083,2053,40757,199622,435646,2285008,53089,16559,142487,965614,87262
Sep-07,2986680,9200,989,61061,150948,316384,1563734,39224,13599,105586,680221,45734
Oct-07,2185303,5404,30,54442,110841,272577,1249812,36690,12238,64311,372462,6496
Nov-07,1649240,3591,36,6051,81676,186671,985036,25669,9972,46077,301277,3184
Dec-07,1840470,3822,8,7986,84558,227553,1019662,27723,8288,67732,390317,2821
Jan-08,1380869,2797,4,4241,68403,154850,774164,20097,5397,49389,299394,2133
Feb-08,1403908,3653,6,4268,61979,187909,737745,16722,5281,52327,331602,2416
Mar-08,1591223,3848,7,5932,65774,183019,878700,23037,7074,63894,355628,4310
Apr-08,1676030,4854,6,7480,74010,200284,961163,20077,6847,53825,343144,4340
May-08,2460246,4611,17,18503,88299,258917,1339261,36877,11365,80186,584512,37698
Jun-08,3129440,6922,748,28857,107497,312275,1678708,54124,16347,129259,724726,69977
Jul-08,3978381,10891,2409,43325,165000,411440,2125513,59387,17990,165972,894143,82311
Aug-08,3967054,11607,2697,45910,163076,432151,2129895,51025,15070,139755,899156,76712
Sep-08,2540740,13399,2546,69716,130401,292285,1252565,33833,13435,96741,592254,43565
Oct-08,2009357,6131,3906,31176,111913,252845,1144674,32508,13030,62652,345366,5156
Nov-08,1529740,4384,48,4850,72230,170059,909081,21654,9802,49546,285319,2767
Dec-08,1703121,4159,3,7353,75501,214536,965079,23662,8227,68921,333478,2202
Jan-09,1304991,3455,6,3828,59180,146201,731578,17322,4805,49920,286789,1907
Feb-09,1328062,2491,1,3874,58444,172573,724273,16509,5036,50668,292102,2091
Mar-09,1470066,2742,18,4598,67061,158472,829254,18955,6196,55899,323640,3231
Apr-09,1717551,3220,14,7038,74090,205761,1004419,18741,7359,55069,337410,4430
May-09,2344317,3845,26,10863,88362,243726,1281419,31956,11050,75653,565966,31451
Jun-09,2629037,5723,506,23127,114134,273382,1297549,44384,15619,121120,672535,60958
Jul-09,3513120,9767,2007,37172,159608,386407,1773236,52130,18878,161074,842410,70431
Aug-09,3339370,10227,1409,35241,164661,374193,1680553,41889,14502,125778,822859,68058
Sep-09,2416355,7360,2315,47629,150125,281003,1182231,31112,13677,92151,569099,39653
Oct-09,1772354,6322,19,35451,106075,251690,963594,26835,12283,52444,311929,5712
Nov-09,1303502,3928,27,5005,67965,156238,752829,19163,8648,41123,245422,3154
Dec-09,1556989,3805,6,6212,67449,195717,853666,20425,8335,61170,337542,2662
Jan-10,1244702,3390,10,3283,58044,139146,678438,16442,5303,44357,294266,2023
Feb-10,1372605,3009,6,3558,54640,163377,639584,14996,5345,48807,436583,2700
Mar-10,1460609,3456,12,4355,64167,165374,777502,19972,6555,57589,357626,4001
Apr-10,1633037,3000,17,7942,68482,193097,905107,18379,7494,49198,375520,4801
May-10,2187652,3103,25,12218,81461,238228,1142343,30444,11143,71098,561434,36155
Jun-10,2893275,5873,326,22499,119718,314304,1457822,47226,17309,120985,715562,71651
Jul-10,3830921,9585,1114,26281,176116,405431,1972504,54910,20325,157482,928597,78576
Aug-10,3491727,10307,617,33814,168889,393451,1751310,41118,15344,125404,873088,78385
Sep-10,2553089,10592,103,62947,134339,293668,1253816,31995,13665,93571,616077,42316
Oct-10,1930151,3684,33,32063,119751,243434,1060690,29182,13687,57820,363393,6414
Nov-10,1397497,3925,15,4579,59994,165682,809453,18658,9181,41654,281833,2523
Dec-10,1625927,3141,13,6474,64109,204749,871949,21132,8869,56447,386841,2203
Jan-11,1205792,2039,9,3419,50728,141752,648804,15127,5517,40747,295442,2208
Feb-11,1193439,2852,0,3210,47455,159349,613105,16198,5201,42695,301263,2111
Mar-11,1356547,2361,18,4215,54190,162532,729572,17893,6922,48787,326571,3486
Apr-11,1611380,4977,12,7477,59681,201371,891184,18867,7773,48258,367319,4461
May-11,2136897,4653,21,12711,70824,242091,1114864,27562,11303,70772,548712,33384
Jun-11,2906869,6482,19,27930,112512,317889,1478642,45337,14849,112321,723662,67226
Jul-11,3776101,8088,1029,33937,159431,411538,1945192,54965,17393,149384,915171,79973
Aug-11,3373611,9136,859,36882,149596,376165,1694291,43200,14603,119121,848396,81362
Sep-11,2533444,11467,194,53553,124074,299001,1252927,32902,13824,91245,614559,39698
Oct-11,1872151,3778,27,37307,101805,245245,1039181,28479,13544,56929,340364,5492
Nov-11,1397947,3236,20,4234,55309,165393,811465,20128,9300,42835,283532,2495
Dec-11,1701964,2537,18,6326,61217,206751,930442,24932,8870,57960,400908,2003
Jan-12,1229844,2257,9,3143,45256,135754,679801,18367,6034,40963,296726,1534
Feb-12,1300647,2087,3,3427,48617,176423,682554,18246,5513,43863,317839,2075
Mar-12,1453396,2845,7,4185,53045,164371,793249,20065,7135,52707,351515,4272
Apr-12,1647167,2856,40,6514,56334,202912,933836,18548,7991,50031,363967,4138
May-12,2181573,4976,40,11590,69346,238719,1167454,28968,11449,71421,542400,35210
Jun-12,3012675,5557,49,20902,110876,323633,1577310,47810,17975,119182,726332,63049
Jul-12,3615870,7704,853,31207,147937,377898,1868794,52539,19356,155911,868923,84748
Aug-12,3525676,7475,976,27591,146325,393971,1798970,44242,15814,128331,878953,83028
Sep-12,2474048,14193,69,55188,118897,279334,1218248,32246,13755,96389,603037,42692
Oct-12,1818448,4381,1026,41587,88389,241551,993858,29930,12772,58815,340977,5162
Nov-12,1381083,2798,20,3807,53054,160196,801486,21129,8467,43983,283687,2456
Dec-12,1677519,2839,23,6630,54785,205841,924451,22800,9080,59677,389650,1743
Jan-13,1215381,2445,2,3057,41835,134826,675160,17345,5590,42513,290798,1810
Feb-13,1222836,1890,9,2907,39458,160276,631378,18128,5581,45614,315619,1976
Mar-13,1503770,2308,12,4128,49818,184174,823058,22679,6736,54219,353306,3332
Apr-13,1500208,2856,13,4993,49856,182010,833025,18019,7986,50042,346988,4420
May-13,2189503,4568,14,13159,65184,255186,1144887,30894,12425,74271,551103,37812
Jun-13,2972332,5878,74,21261,105468,303769,1510188,46227,17847,118541,764512,78567
Jul-13,3614835,10780,1152,29757,141995,393893,1800425,50457,18474,155361,924868,87673
Aug-13,3659252,9425,948,26577,144339,424555,1821279,45769,15666,138550,940620,91524
Sep-13,2404546,13682,63,49816,108062,276179,1166225,30465,14087,99335,603493,43139
Oct-13,1851349,4034,21,29751,93649,248580,1023591,27198,13479,60932,344946,5168
Nov-13,1393804,3012,3,3662,47975,166548,790920,20168,9015,43654,306512,2335
Dec-13,1639199,2755,6,5965,45907,209044,891657,22676,7644,59930,391803,1812
Jan-14,1189185,2136,0,2614,37449,136442,623635,16049,5777,42875,320370,1838
Feb-14,1188099,2206,9,2906,36941,159404,607849,16610,5471,43837,311044,1822
Mar-14,1355674,3018,0,3380,39823,156356,723514,19976,6695,52433,347588,2891
Apr-14,1615335,3169,17,4873,46444,203826,895206,18138,7703,54880,377557,3522
May-14,2264944,4182,21,16598,58178,258057,1172013,27950,11419,78960,601068,36498
Jun-14,3004316,7554,53,26902,82340,331048,1520802,44376,17101,130606,773868,69666
Jul-14,3687564,10505,1136,32001,113802,421870,1842644,48269,19345,167404,949166,81422
Aug-14,3750119,10338,1187,40745,132837,438709,1870424,43882,15282,144176,970913,81626
Sep-14,2455033,17718,82,49910,110652,277132,1186568,27156,13555,102957,620769,48534
Oct-14,1951935,5038,35,35408,93413,255956,1072726,26920,13233,62170,381660,5376
Nov-14,1370006,3003,624,4422,43196,168855,766763,17744,8273,45528,308891,2707
Dec-14,1725804,3375,8,5631,47697,220995,919710,21277,8458,62606,433815,2232
Jan-15,1260127,2491,8,2713,37297,142233,674215,16417,6347,41877,334406,2123
Feb-15,1255498,2128,23,3008,35989,163136,630825,16395,4986,43583,353359,2066
Mar-15,1448210,2962,0,3275,41867,168019,770109,21427,6098,53237,377396,3820
Apr-15,1687028,3082,4,4658,46562,212460,934349,18115,7422,51680,404056,4640
May-15,2453533,7090,28,11411,62342,277802,1281552,29308,10257,79346,654050,40347
Jun-15,3306450,7753,67,29233,87880,386795,1642178,69132,14233,137787,859443,71949
Jul-15,4083433,8194,121,37000,124532,451542,2087148,51715,17357,172458,1049105,84261
Aug-15,3801481,11665,166,31603,128449,445086,1933656,42619,13219,135663,983837,75518
Sep-15,2789062,18101,41,54368,112218,318706,1412161,32484,12109,98734,686660,43480
Oct-15,2073074,4729,24,34539,91685,282073,1144914,28961,12263,59332,409351,5203
Nov-15,1510420,2630,11,4845,48209,181536,861702,18236,7591,43016,339958,2686
Footnotes:,,,,,,,,,,,,
1,"Covers the period 1972 to date monthly data. Prior to 1972 do not coincide with current definitions and methods of collection. Refer to publication 66-201 annual 1972 for further explanation. Present methods of collection are described in publication 66-001. In 1976, Canadians returning from Hawaii were included in the United States whereas in previous years they were counted as returning from other countries.",,,,,,,,,,,
7,"Travel data for NEXUS Highway, which is a program designed to expedite the border clearance process for low-risk, pre-approved travellers into Canada and the United States, are now included. Monthly data has been revised back to January 2010 to reflect this change.",,,,,,,,,,,
10,"As of January 2014, improvements in data collection procedures at Rainbow Bridge have permitted a more accurate allocation of pedestrians entering Canada between Canadian residents and residents of Overseas countries, at this port.",,,,,,,,,,,
11,"In 2013, Statistics Canada updated the method used to estimate the number of same-day and overnight commercial plane trips made by United States residents entering Canada via one of the following three airports: Pearson (Toronto), Trudeau (Montréal) and Vancouver. This change created a break in the time series on the number of same-day and overnight commercial air trips made by American residents entering Quebec, Ontario and British Columbia. Please note that the methodological update does not affect the total number of United States residents travelling to Canada by commercial air. The 2013 and 2014 data on the number of same-day and overnight commercial air trips made by United States residents, however, have been revised.",,,,,,,,,,,
Source:,,,,,,,,,,,,
"Statistics Canada. Table 427-0001 - Number of international travellers entering or returning to Canada, by type of transport, monthly (persons)",,,,,,,,,,,,
"(accessed: February 15, 2016)",,,,,,,,,,,,
